rol,tribunal,tipo,año,filename,size_kb
"R-334-2022","2TA","definitiva","2022","R-334-2022_18-07-2023_Sentencia.pdf","3436.1"
"R-339-2022","2TA","definitiva","2022","2022.11.21_Sentencia_R-339-2022-2.pdf","607.2"
"R-340-2022","2TA","definitiva","2022","R-340-2022_16-03-2023_Sentencia.pdf","1064.2"
"R-341-2022","2TA","definitiva","2022","2022.12.02_Sentencia_R-341-2022.pdf","1080.2"
"R-342-2022","2TA","definitiva","2022","2023.05.11_Sentencia_R-342-2022.pdf","960.6"
"R-343-2022","2TA","definitiva","2022","2024.02.09_Sentencia_R-343-2022.pdf","1036.7"
"R-344-2022","2TA","definitiva","2022","2022.02.24_Sentencia_R-344-2022-1.pdf","926.6"
"R-346-2022","2TA","definitiva","2022","2025.02.11_Sentencia_R-346-2022.pdf","1913.6"
"R-347-2022","2TA","definitiva","2022","2025.06.03_Sentencia_R-347-2022_acumulada_R-439-2023.pdf","2480.1"
"R-348-2022","2TA","definitiva","2022","2024.01.26_Sentencia_Rol-348-2022.pdf","1416.7"
"R-349-2022","2TA","definitiva","2022","2023.09.06_Sentencia_R-349-2022.pdf","4019.2"
"R-350-2022","2TA","definitiva","2022","2023.11.20_Sentencia_R-350-2022.pdf","614.1"
"R-352-2022","2TA","definitiva","2022","Sentencia_R_352-2022.pdf","1423.7"
"R-353-2022","2TA","definitiva","2022","2023.11.02_Sentencia_R-353-2022.pdf","875.1"
"R-354-2022","2TA","definitiva","2022","R-354-2022_19-07-2023_Sentencia.pdf","823.3"
"R-355-2022","2TA","definitiva","2022","2023.08.17_Sentencia_R-355-2022.pdf","1317.7"
"R-356-2022","2TA","definitiva","2022","R-356-2022_26-07-2023_Sentencia.pdf","2005.3"
"R-360-2022","2TA","definitiva","2022","2023.12.07_Sentencia_R-360-2022.pdf","2230.4"
"R-362-2022","2TA","definitiva","2022","R-362-2022_19-07-2023_Sentencia.pdf","1419.7"
"R-370-2022","2TA","definitiva","2022","2023.12.20_Sentencia_R-370-2022.pdf","894.6"
"R-371-2022","2TA","definitiva","2022","Sentencia_R-371-2022.pdf","2592.0"
"R-373-2022","2TA","definitiva","2022","2023.09.13_Sentencia_R-373-2022.pdf","1240.9"
"R-374-2022","2TA","definitiva","2022","2024.04.24_Sentencia_R-374-2022.pdf","974.0"
"R-375-2022","2TA","definitiva","2022","2025.08.19_Sentencia_R-375-2022_y_acumuladas-1.pdf","16305.3"
"R-376-2022","2TA","definitiva","2022","2023.10.11_Sentencia_R-376-2022.pdf","1032.6"
"R-378-2022","2TA","definitiva","2022","2023.10.25_Sentencia_R-378-2022.pdf","671.5"
"R-379-2022","2TA","definitiva","2022","2024.04.30_Sentencia_R-379-2022.pdf","1097.5"
"R-383-2022","2TA","definitiva","2022","2024.04.24_Sentencia_R-383-2022.pdf","994.7"
"R-384-2022","2TA","definitiva","2022","2023.07.10_Sentencia_R-384-2022.pdf","440.2"
"R-363-2023","2TA","definitiva","2023","2023.08.22_Sentencia_R-363-2023.pdf","801.3"
"R-377-2023","2TA","definitiva","2023","2024.06.28_Sentencia_R-377-2023.pdf","1962.0"
"R-385-2023","2TA","definitiva","2023","2024.04.08_Sentencia_R-385-2023.pdf","3496.5"
"R-388-2023","2TA","definitiva","2023","2023.08.23_Sentencia_R-388-2023.pdf","980.8"
"R-392-2023","2TA","definitiva","2023","Sentencia_R-392-2023.pdf","1592.9"
"R-395-2023","2TA","definitiva","2023","2023.10.19_Sentencia_R-395-2023.pdf","481.2"
"R-396-2023","2TA","definitiva","2023","2024.04.22_Sentencia_R-396-2023.pdf","601.2"
"R-397-2023","2TA","definitiva","2023","2024.05.30_Sentencia_R-397-2023.pdf","868.5"
"R-399-2023","2TA","definitiva","2023","2024.04.26_Sentencia_R-399-2023.pdf","1184.3"
"R-400-2023","2TA","definitiva","2023","2024.04.26_Sentencia_R-400-2023.pdf","867.6"
"R-403-2023","2TA","definitiva","2023","2024.04.11_Sentencia_R-403-2023-1.pdf","1319.7"
"R-404-2023","2TA","definitiva","2023","2024.04.22_Sentencia_R-404-2023.pdf","5278.5"
"R-405-2023","2TA","definitiva","2023","2024.07.03_Sentencia_R-405-2023.pdf","1055.2"
"R-406-2023","2TA","definitiva","2023","2024.10.29_Sentencia_R-406-2023.pdf","3366.9"
"R-407-2023","2TA","definitiva","2023","2024.05.27_Sentencia_R-407-2023.pdf","1350.2"
"R-408-2023","2TA","definitiva","2023","2024.07.17_Sentencia_R-408-2023.pdf","1175.6"
"R-409-2023","2TA","definitiva","2023","2024.04.15_Sentencia_R-409-2023.pdf","928.5"
"R-412-2023","2TA","definitiva","2023","2024.08.14_Sentencia_R-412-2023.pdf","760.7"
"R-413-2023","2TA","definitiva","2023","2024.07.03_Sentencia_R-413-2023.pdf","994.3"
"R-414-2023","2TA","definitiva","2023","2024.08.27_Sentencia_R-414-2023.pdf","1792.0"
"R-417-2023","2TA","definitiva","2023","2024.08.22_Sentencia_R-417-2023.pdf","947.2"
"R-418-2023","2TA","definitiva","2023","2024.05.27_Sentencia_R-418-2023.pdf","754.1"
"R-424-2023","2TA","definitiva","2023","2024.06.07_Sentencia_R-424-2023.pdf","1376.0"
"R-425-2023","2TA","definitiva","2023","2024.11.06_Sentencia_R-425-2023.pdf","1352.2"
"R-426-2023","2TA","definitiva","2023","Sentencia_R_426-2023.pdf","1820.7"
"R-428-2023","2TA","definitiva","2023","2024.11.07_Sentencia_R-428-2023.pdf","648.1"
"R-431-2023","2TA","definitiva","2023","2025.02.19_Sentencia_R427-2023_R_431-2023.pdf","1112.8"
"R-432-2023","2TA","definitiva","2023","2024.05.31_Sentencia_R-432-2023.pdf","1404.6"
"R-433-2023","2TA","definitiva","2023","2025.03.19_Sentencia_R-433-2023.pdf","2233.3"
"R-434-2023","2TA","definitiva","2023","2025.03.19_Sentencia_R-434-2023.pdf","1505.7"
"R-435-2023","2TA","definitiva","2023","2024.09.16_Sentencia_R-435-2023.pdf","1654.0"
"R-440-2023","2TA","definitiva","2023","2024.07.17_Sentencia_R-440-2023.pdf","805.1"
"R-441-2023","2TA","definitiva","2023","2025.12.22_Sentencia_R-441-2023.pdf","2568.3"
"R-443-2023","2TA","definitiva","2023","2024.07.17_Sentencia_R-443-2023.pdf","580.0"
"R-450-2024","2TA","definitiva","2024","2024.12.23_Sentencia_R-450-2024.pdf","795.8"
"R-451-2024","2TA","definitiva","2024","2024.11.15_Sentencia_R-451-2024.pdf","879.4"
"R-453-2024","2TA","definitiva","2024","2025.08.29_Sentencia_R-453-2024.pdf","1220.0"
"R-454-2024","2TA","definitiva","2024","2024.11.04_Sentencia_R-454-2024.pdf","778.2"
"R-456-2024","2TA","definitiva","2024","2025.03.27_Sentencia_R-456-2024.pdf","1356.0"
"R-458-2024","2TA","definitiva","2024","2025.04.17_Sentencia_R-458-2024.pdf","1570.8"
"R-459-2024","2TA","definitiva","2024","2025.07.03_Sentencia_R-459-2024.pdf","3257.1"
"R-460-2024","2TA","definitiva","2024","2026.01.06_Sentencia_R-460-2024.pdf","827.4"
"R-463-2024","2TA","definitiva","2024","2025.07.07_Sentencia_R-463-2024.pdf","1771.1"
"R-464-2024","2TA","definitiva","2024","2025.05.16_Sentencia_R-464-2024.pdf","1875.0"
"R-465-2024","2TA","definitiva","2024","2025.10.30_Sentencia_R-465-2024.pdf","2321.0"
"R-466-2024","2TA","definitiva","2024","2025.03.13_Sentencia_R-466-2024.pdf","715.3"
"R-470-2024","2TA","definitiva","2024","2025.09.17_Sentencia_R-470-2024.pdf","657.1"
"R-478-2024","2TA","definitiva","2024","2025.12.30_Sentencia_R-478-2024.pdf","1276.7"
"R-479-2024","2TA","definitiva","2024","2025.05.29_Sentencia_R-479-2024.pdf","671.9"
"R-481-2024","2TA","definitiva","2024","2025.12.05_Sentencia_R-481-2024_.pdf","3044.1"
"R-482-2024","2TA","definitiva","2024","2025.10.02_Sentencia_R-482-2024.pdf","1058.3"
"R-483-2024","2TA","definitiva","2024","2025.08.29_Sentencia_R-483-2024.pdf","2076.4"
"R-485-2024","2TA","definitiva","2024","2025.12.16_Sentencia_R-485-2024.pdf","736.0"
"R-489-2024","2TA","definitiva","2024","2025.12.16_Sentencia_R-489-2024.pdf","1099.6"
"R-493-2024","2TA","definitiva","2024","2025.12.16_Sentencia_R-493-2024.pdf","872.0"
"R-494-2025","2TA","definitiva","2025","2025.12.22._Sentencia_R-494-2025.pdf","1621.6"
"R-498-2025","2TA","definitiva","2025","2025.12.16_Sentencia_R-498-2025.pdf","1213.5"
"R-504-2025","2TA","definitiva","2025","2025.09.15_Sentencia_R-504-2025.pdf","1424.0"
"R-506-2025","2TA","definitiva","2025","2025.08.25_Sentencia_R-506-2025.pdf","770.9"
"R-518-2025","2TA","definitiva","2025","2025.12.16_Sentencia_R-518-2025.pdf","1184.8"
"R-520-2025","2TA","definitiva","2025","2025.12.16_Sentencia_R-520-2025.pdf","988.8"
"R-521-2025","2TA","definitiva","2025","2025.12.23_Sentencia_R-521-2025.pdf","396.5"
"R-522-2025","2TA","definitiva","2025","2025.09.30_Sentencia_R-522-2025.pdf","1117.7"
"R-528-2025","2TA","definitiva","2025","2025.12.19_Sentencia_R-528-2025.pdf","694.3"
