filename,tribunal,tipo,rol,año,size_kb
"R-89-2016_Sentencia-Casacion-24838-2017.pdf","2TA","casacion","R-89-2016","2016","234.2"
"R-90-2016-21-03-2017-Sentencia.pdf","2TA","definitiva","R-90-2016","2016","995.1"
"R-93-2016-27-02-2017-Sentencia.pdf","2TA","definitiva","R-93-2016","2016","1150.2"
"R-95-2016-17-11-2016-Sentencia.pdf","2TA","definitiva","R-95-2016","2016","344.8"
"R-96-2016-25-04-2016-Sentencia.pdf","2TA","definitiva","R-96-2016","2016","1868.6"
"Sentencia-CS-Rol-28108-2017-rechaza-casación-caso-Lago-Rapel-R-96-2016.pdf","2TA","casacion","R-96-2016","2016","139.8"
"Sentencia-CS-Rol-28108-2017-rechaza-casación-caso-Lago-Rapel-R-96-2016.pdf","2TA","casacion","R-96-2016","2016","139.8"
"R-97-2016-23-12-2016-Sentencia.pdf","2TA","definitiva","R-97-2016","2016","1578.4"
"R-98-2016-21-06-2017-Sentencia.pdf","2TA","definitiva","R-98-2016","2016","1348.0"
"R-99-2016-25-04-2018-Sentencia.pdf","2TA","definitiva","R-99-2016","2016","4703.9"
"R-101-2016-31-05-2017-Sentencia.pdf","2TA","definitiva","R-101-2016","2016","2593.6"
"Sentencia_CS-34281-2017-r-101-2016.pdf","2TA","definitiva","R-101-2016","2016","226.6"
"Sentencia_CS_R-101-2016_CruzGrande.pdf","2TA","definitiva","R-101-2016","2016","226.6"
"R-102-2016-15-09-2016-Sentencia.pdf","2TA","definitiva","R-102-2016","2016","434.5"
"R-104-2016-24-02-2017-Sentencia.pdf","2TA","definitiva","R-104-2016","2016","1154.8"
"R-104-2016_sentencia-casacion_11485-2017.pdf","2TA","casacion","R-104-2016","2016","338.0"
"R-107-2016_24-01-2018_Sentencia.pdf","2TA","definitiva","R-107-2016","2016","1616.2"
"R-108-2016-15-11-2016-Sentencia.pdf","2TA","definitiva","R-108-2016","2016","426.9"
"R-109-2016-22-05-2017-Sentencia.pdf","2TA","definitiva","R-109-2016","2016","1915.8"
"Sentencia_CS_R-109-2016_TolpanMulchen.pdf","2TA","definitiva","R-109-2016","2016","126.9"
"R-111-2016-31-08-2017-Sentencia.pdf","2TA","definitiva","R-111-2016","2016","4939.2"
"R-112-2016-02-02-2017-Sentencia.pdf","2TA","definitiva","R-112-2016","2016","1369.8"
"Sentencia_CS_8456-2017_TA_R-112-2016_Ecomaule.pdf","2TA","definitiva","R-112-2016","2016","159.9"
"R-116-2016-28-06-2017-Sentencia.pdf","2TA","definitiva","R-116-2016","2016","1174.7"
"Sentencia-CS-Santa-Marta_R-116-2016_Rol-36202-2017.pdf","2TA","definitiva","R-116-2016","2016","146.7"
"R-117-2016_14-12-2016_Sentencia.pdf","2TA","definitiva","R-117-2016","2016","710.4"
"R-118-2016-31-08-2017-Sentencia.pdf","2TA","definitiva","R-118-2016","2016","1133.3"
"Sentencia_CS_42004-2017_TA_r-118-2016_Maricunga.pdf","2TA","definitiva","R-118-2016","2016","231.5"
"R-122-2016_30-03-2017_Sentencia.pdf","2TA","definitiva","R-122-2016","2016","757.4"
"R-122-2016-30-03-2017-Sentencia.pdf","2TA","definitiva","R-122-2016","2016","757.4"
"R-123-2016-18-05-2017-Sentencia.pdf","2TA","definitiva","R-123-2016","2016","1664.2"
"R-124-2016-15-05-2018-Sentencia.pdf","2TA","definitiva","R-124-2016","2016","195.3"
"R-125-2016-11-02-2019-Sentencia.pdf","2TA","definitiva","R-125-2016","2016","6538.9"
"CS-7785-2019_2TA_R-125-2016_Sentencia.pdf","2TA","definitiva","R-125-2016","2016","163.4"
"R-126-2016-31-08-2017-Sentencia.pdf","2TA","definitiva","R-126-2016","2016","3278.8"
"R-128-2016-31-03-2017-Sentencia.pdf","2TA","definitiva","R-128-2016","2016","1707.6"
"R-129-2016-05-01-2018-Sentencia.pdf","2TA","definitiva","R-129-2016","2016","2503.5"
"Sentencia_CS-2653-2018-r-129-2016_carmelitas.pdf","2TA","definitiva","R-129-2016","2016","231.4"
"Sentencia-reemplazo_CS-2653-2018-r-129-2016_carmelitas.pdf","2TA","reemplazo","R-129-2016","2016","201.0"
"R-131-2016-28-04-2017-Sentencia.pdf","2TA","definitiva","R-131-2016","2016","1609.0"
"R-132-2016-20-10-2017-Sentencia.pdf","2TA","definitiva","R-132-2016","2016","1732.9"
"R-135-2016-28-07-2017-Sentencia.pdf","2TA","definitiva","R-135-2016","2016","5971.7"
"R-135-2016-28-07-2017-Sentencia.pdf","2TA","definitiva","R-135-2016","2016","5971.7"
"R-138-2016-29-03-2018-Sentencia.pdf","2TA","definitiva","R-138-2016","2016","1322.8"
"CS_8737-2018_2TA_R-138-2016_Sentencia-Mina-Invierno.pdf","2TA","definitiva","R-138-2016","2016","225.7"
"CS_23085-2018_2TA_R-139-2016_Sentencia.pdf","2TA","definitiva","R-139-2016","2016","145.7"
"R-140-2016-05-06-2018-Sentencia.pdf","2TA","definitiva","R-140-2016","2016","3916.1"
"R-139-2017-31-07-2018-Sentencia.pdf","2TA","definitiva","R-139-2017","2017","5583.2"
"R-141-2017-08-02-2019-Sentencia.pdf","2TA","definitiva","R-141-2017","2017","1860.8"
"R-143-2017-10-12-2018-Sentencia-web_pc_7mb.pdf","2TA","definitiva","R-143-2017","2017","6835.4"
"CS_2025-2019_2TA_R-143-2017_Sentencia.pdf","2TA","definitiva","R-143-2017","2017","254.5"
"R-146-2017-25-09-2018-Sentencia.pdf","2TA","definitiva","R-146-2017","2017","4288.9"
"R-147-2017-30-01-2019-Sentencia.pdf","2TA","definitiva","R-147-2017","2017","2496.4"
"Sentencia-Casacion-CS7610_2TA_R-147-2017.pdf","2TA","casacion","R-147-2017","2017","231.4"
"Sentencia-Casacion-CS7610_2TA_R-147-2017-1.pdf","2TA","casacion","R-147-2017","2017","231.4"
"R-148-2017-26-04-2018-Sentencia.pdf","2TA","definitiva","R-148-2017","2017","5031.8"
"Sentencia_12802-2018_TA-R-148-2017-EnconSolar.pdf","2TA","definitiva","R-148-2017","2017","184.3"
"R-149-2017-01-06-2018-Sentencia.pdf","2TA","definitiva","R-149-2017","2017","1243.2"
"R-150-2017-28-02-2018-Sentencia.pdf","2TA","definitiva","R-150-2017","2017","1269.0"
"R-153-2017-14-09-2018-Sentencia.pdf","2TA","definitiva","R-153-2017","2017","25851.3"
"R-154-2017-29-03-2018-Sentencia.pdf","2TA","definitiva","R-154-2017","2017","3878.6"
"CorteSuprema_sentencia-casacion-R-154-2017.pdf","2TA","casacion","R-154-2017","2017","161.1"
"ChileMink_sentencia-Reemplazo_-R-154-2017.pdf","2TA","reemplazo","R-154-2017","2017","138.3"
"R-155-2017-27-04-2018-Sentencia.pdf","2TA","definitiva","R-155-2017","2017","1417.4"
"CS_12928-2018_2TA_R-155-2017_Sentencia.pdf","2TA","definitiva","R-155-2017","2017","205.5"
"R-157-2017-17-08-2018-Sentencia.pdf","2TA","definitiva","R-157-2017","2017","19567.4"
"CS_28195-2018_2TA_R-157-2017_Sentencia.pdf","2TA","definitiva","R-157-2017","2017","337.0"
"R-160-2017-21-08-2018-Sentencia.pdf","2TA","definitiva","R-160-2017","2017","18432.2"
"Sentencia_casación-CS-24870_2TA-R-160-2017.pdf","2TA","casacion","R-160-2017","2017","315.9"
"Sentencia_casación-CS-24870_2TA-R-160-2017.pdf","2TA","casacion","R-160-2017","2017","315.9"
"R-161-2017-18-04-2018-Sentencia.pdf","2TA","definitiva","R-161-2017","2017","1022.2"
"R-163-2017-29-06-2018-Sentencia.pdf","2TA","definitiva","R-163-2017","2017","1684.2"
"R-166-2017-04-06-2019-Sentencia.pdf","2TA","definitiva","R-166-2017","2017","3421.8"
"CS_23289-2019_2TA_R-166-2017_Sentencia.pdf","2TA","definitiva","R-166-2017","2017","146.1"
"R-169-2017-14-06-2019-Sentencia.pdf","2TA","definitiva","R-169-2017","2017","4227.3"
"Sentencia-Casacion-CS-21265_2TA_R-169-2017.pdf","2TA","casacion","R-169-2017","2017","108.1"
"Sentencia-casación-CS-Rol-15549-2017-derrame-de-petróleo-Quintero.pdf","2TA","casacion","R-15549-2017","2017","227.1"
"Sentencia-de-reemplazo-CS-Rol-15549-2017-Derrame-de-petróleo-Quintero.pdf","2TA","reemplazo","R-15549-2017","2017","163.9"
"Sentencia-de-reemplazo-CS-Rol-15549-2017-Derrame-de-petróleo-Quintero.pdf","2TA","reemplazo","R-15549-2017","2017","163.9"
"Sentencia-casación-CS-Rol-15549-2017-derrame-de-petróleo-Quintero.pdf","2TA","casacion","R-15549-2017","2017","227.1"
"Sentencia-CS-Rol-18341-2017-Saeta.pdf","2TA","definitiva","R-18341-2017","2017","213.1"
"Sentencia-casación-Rol-37273-2017-Nogales.pdf","2TA","casacion","R-37273-2017","2017","190.5"
"Sentencia-de-reemplazo-Rol-37273-2017-Nogales.pdf","2TA","reemplazo","R-37273-2017","2017","139.1"
"Sentencia_Corte-Suprema_Rol-44801-2020_2TA_R-171-2018.pdf","2TA","definitiva","R-171-2018","2018","220.1"
"R-173-2018-31-01-2019-Sentencia.pdf","2TA","definitiva","R-173-2018","2018","659.0"
"Sentencia-Casacion-CS-7073_2TA_R-173-2018.pdf","2TA","casacion","R-173-2018","2018","135.8"
"R-177-2018-22-07-2019-Sentencia.pdf","2TA","definitiva","R-177-2018","2018","8075.0"
"CS_29062-2019_2TA_R-179-2018_Sentencia.pdf","2TA","definitiva","R-179-2018","2018","182.4"
"Sentencia_Corte-Suprema_Rol-104693-2020_2TA_R-181-2018.pdf","2TA","definitiva","R-181-2018","2018","240.5"
"R-183-2018_03-11-2021_Sentencia.pdf","2TA","definitiva","R-183-2018","2018","27034.9"
"Sentencia_CS_96002-2021_2TA_R-183-2018.pdf","2TA","definitiva","R-183-2018","2018","141.6"
"R-189-2018-13-09-2019-Sentencia.pdf","2TA","definitiva","R-189-2018","2018","857.7"
"CS_20994-2020_2TA_R-190-2018_Sentencia.pdf","2TA","definitiva","R-190-2018","2018","194.5"
"R-191-2018-26-07-2019-Sentencia-pdf.pdf","2TA","definitiva","R-191-2018","2018","5894.7"
"Sentencia-Casacion-CS-25056_2TA_R-191-2018.pdf","2TA","casacion","R-191-2018","2018","141.9"
"Sentencia-Casacion-CS-25056_2TA_R-191-2018-1.pdf","2TA","casacion","R-191-2018","2018","141.9"
"CS_27003-2019_2TA_R-193-2018_Sentencia.pdf","2TA","definitiva","R-193-2018","2018","125.0"
"Sentencia_Corte-Suprema_Rol-131181-2020_2TA_R-195-2018.pdf","2TA","definitiva","R-195-2018","2018","185.8"
"R-197-2018_27-11-2019_Sentencia.pdf","2TA","definitiva","R-197-2018","2018","1796.0"
"R-198-2018-15-03-2019-Sentencia_web.pdf","2TA","definitiva","R-198-2018","2018","6212.4"
"Sentencia_Corte-Suprema_117379-2020_2TA-R-199-2018.pdf","2TA","definitiva","R-199-2018","2018","198.2"
"Sentencia_Corte-Suprema_6960-2021-R-200-2018-STA.pdf","2TA","definitiva","R-200-2018","2018","188.7"
"CS-29521-2019_2TA_R-189-2019_Sentencia.pdf","2TA","definitiva","R-189-2019","2019","171.5"
"Sentencia_Corte-Suprema_79353-2020_2TA-R-196-2019.pdf","2TA","definitiva","R-196-2019","2019","212.2"
"Sentencia_Corte-Suprema_99487-2020_2TA-R-206-2019.pdf","2TA","definitiva","R-206-2019","2019","479.4"
"Sentencia_R-210-2019_-_14.10.2020.pdf","2TA","definitiva","R-210-2019","2019","912.6"
"R-210-2019_CS-14971-2020-sentencia.pdf","2TA","definitiva","R-210-2019","2019","275.5"
"2022.07.06_Sentencia_R-215-2019.pdf","2TA","definitiva","R-215-2019","2019","4245.6"
"R-220-2019_30-03-2021_Sentencia.pdf","2TA","definitiva","R-220-2019","2019","9173.5"
"Sentencia_R-221-2019.pdf","2TA","definitiva","R-221-2019","2019","20671.5"
"R-224-2019_17-06-2021_Sentencia.pdf","2TA","definitiva","R-224-2019","2019","10408.5"
"Sentencia_Corte_Suprema_Rol_1583-2019_2TA_D-26-2016.pdf","2TA","definitiva","R-1583-2019","2019","179.6"
"Sentencia_Corte_Suprema_Rol_27726-2019_2TA_D-27-2016.pdf","2TA","definitiva","R-27726-2019","2019","180.2"
"R-230-2020_10-03-2022_Sentencia.pdf","2TA","definitiva","R-230-2020","2020","3235.4"
"R-233-2020_18-06-2021_Sentencia.pdf","2TA","definitiva","R-233-2020","2020","9406.7"
"R-234-2020_22-06-2021_Sentencia.pdf","2TA","definitiva","R-234-2020","2020","15973.1"
"R-236-2020_01-10-2021_Sentencia.pdf","2TA","definitiva","R-236-2020","2020","1528.6"
"R-238-2020_16-06-2021_Sentencia.pdf","2TA","definitiva","R-238-2020","2020","14158.0"
"Sentencia_CS_58263-2021_2TA_R-238-2020.pdf","2TA","definitiva","R-238-2020","2020","202.4"
"R-239-2020_14-07-2021_Sentencia.pdf","2TA","definitiva","R-239-2020","2020","20920.0"
"R-243-2020_14-10-2021_Sentencia.pdf","2TA","definitiva","R-243-2020","2020","1166.0"
"R-244-2020_25-05-2022_Sentencia.pdf","2TA","definitiva","R-244-2020","2020","30377.6"
"R-251-2020_09-08-2021_Sentencia.pdf","2TA","definitiva","R-251-2020","2020","4930.8"
"R-252-2020_19-11-2021_Sentencia.pdf","2TA","definitiva","R-252-2020","2020","7946.9"
"R-253-2020_13-07-2021_Sentencia.pdf","2TA","definitiva","R-253-2020","2020","2765.9"
"2022.08.24_Sentencia_R-261-2020.pdf","2TA","definitiva","R-261-2020","2020","1269.0"
